93,46.28,0.0,-33000.0,118.99
1,54.72,0.0,-39000.0,155.1
94,58.88,0.0,-24000.0,160.75
1,21.4,0.0,-45000.0,55.89
2,46.8,0.0,-30000.0,112.06
3,55.6,0.0,-33000.0,127.94
4,53.2,0.0,-39000.0,128.7
5,47.72,0.0,-30000.0,119.77
6,53.28,0.0,-33000.0,137.72
7,43.4,0.0,-42000.0,111.5
8,55.24,0.0,-36000.0,144.23
9,55.4,0.0,-30000.0,143.87
10,53.8,0.0,-51000.0,126.08
11,43.96,0.0,-42000.0,101.73
12,38.04,0.0,-30000.0,91.3
13,43.28,0.0,-42000.0,112.08
14,38.4,0.0,-48000.0,88.03
15,46.0,0.0,-42000.0,115.94
16,49.2,0.0,-36000.0,119.31
17,51.2,0.0,-48000.0,123.34
18,43.68,0.0,-36000.0,109.71
19,32.2,0.0,-33000.0,77.46
20,35.72,0.0,-48000.0,84.05
21,47.52,0.0,-33000.0,120.15
22,51.24,0.0,-42000.0,123.35
23,55.4,0.0,-48000.0,126.22
24,54.48,0.0,-36000.0,125.58
25,55.76,0.0,-27000.0,127.32
26,44.24,0.0,-33000.0,105.7
27,37.88,0.0,-36000.0,90.01
28,40.8,0.0,-30000.0,101.09
29,52.2,0.0,-39000.0,124.59
30,46.52,0.0,-24000.0,116.84
31,48.88,0.0,-33000.0,123.48
32,47.72,0.0,-39000.0,114.89
33,54.88,0.0,-39000.0,125.5
34,54.52,0.0,-36000.0,125.43
35,55.04,0.0,-21000.0,130.0
36,56.64,0.0,-30000.0,127.76
37,52.12,0.0,-42000.0,122.99
38,45.96,0.0,-33000.0,126.15
39,48.0,0.0,-36000.0,134.56
40,42.84,0.0,-33000.0,121.47
41,61.56,0.0,-30000.0,150.65
42,56.24,0.0,-33000.0,134.63
43,46.24,0.0,-42000.0,114.39
44,48.04,0.0,-42000.0,122.88
45,45.0,0.0,-21000.0,123.79
46,50.52,0.0,-42000.0,128.19
47,55.96,0.0,-33000.0,140.76
48,43.96,0.0,-51000.0,110.88
49,46.48,0.0,-36000.0,125.61
50,47.16,0.0,-39000.0,126.34
51,51.84,0.0,-39000.0,133.1
52,58.52,0.0,-36000.0,131.78
53,56.68,0.0,-42000.0,131.28
54,57.8,0.0,-18000.0,131.4
55,64.12,0.0,-36000.0,141.4
56,53.84,0.0,-36000.0,128.26
57,46.12,0.0,-42000.0,117.9
58,47.84,0.0,-24000.0,116.92
59,60.12,0.0,-33000.0,133.6
60,63.44,0.0,-27000.0,140.57
61,58.84,0.0,-33000.0,158.35
62,58.48,0.0,-33000.0,156.28
